,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
191,ITAL 27600,Beyond Ferrante: Italian Women Writers Rediscovered and the Global Editorial Market,"In this class we read selected works from some of the most influential Italian women writers who are not named Elena Ferrante. Some of these writers contributed to the cultural and literary background that produced Ferrante as well. Others can be seen as Ferrante's peers and even heirs. The remarkable global success of Ferrante's work has created the so-called ""Ferrante effect."" Both in Italy and abroad, editors and scholars are finally paying attention to long overlooked Italian women writers. We will explore this trend of reissues, new publications, and new translations. How has the Ferrante effect recast our assumptions about literary value? Can restorative justice take place within the global editorial market? Is it legitimate to speak about an editorial affirmative action? What is the relationship between Italian periphery and the dominant literary empire? Among the authors we will read are classics--such as Elsa Morante, Natalia Ginzburg, and Anna Maria Ortese--but also new and overlooked voices--such as Fabrizia Ramondino, Fausta Cialente, Paola Masino, Brianna Carafa, Claudia Durastanti, and Veronica Raimo.",Maria Anna Mariani,None,None,Taught in Italian. Course not offered in 24-25.,"GNSE 27606, GLST 27600"
192,ITAL 27700,The (Auto)Biography of a Nation: Francesco De Sanctis and Benedetto Croce,"At its core, this course examines the making and legacy of Francesco De Sanctis's History of Italian Literature (1870-71), a work that distinguished literary critic René Wellek defined as ""the finest history of any literature ever written"" and ""an active instrument of aesthetic evolution."" We will read the History in the larger context of De Sanctis's corpus, including his vast epistolary exchanges, autobiographical writings, and so-called Critical Essays in order to detail his reform of Hegelian aesthetics, his redefinition of the intellectual's task after the perceived exhaustion of the Renaissance, Enlightenment, and Romantic moments, and his campaign against the bent toward erudition, philology, and antiquarianism in 19th-century European scholarship. We will compare De Sanctis's methodology to that of his scholarly models in France (Alphonse de Lamartine, Alfred Mézières) and Germany (Georg Gottfried Gervinus, Georg Voigt) to explore De Sanctis's claim that literary criticisms - not just literary cultures - are ""national."" In the second part of the course, we assess Benedetto Croce's appropriation of De Sanctis in his Aesthetics (1902), arguably the last, vastly influential work in its genre and we conclude with Antonio Gramsci's use of De Sanctis for the regeneration of a literary savvy Marxism or philosophy of praxis.",R. Rubini,None,None,Course not offered in 24-25.,"ITAL 37700, KNOW 27700, CMLT 28800, CMLT 38800, KNOW 37700"
193,ITAL 28400,Pasolini,"This course examines each aspect of Pasolini's artistic production according to the most recent literary and cultural theories, including Gender Studies. We shall analyze his poetry (in particular ""Le Ceneri di Gramsci"" and ""Poesie informa di rosa""), some of his novels (""Ragazzi di vita,"" ""Una vita violenta,"" ""Teorema,"" ""Petrolio""), and his numerous essays on the relationship between standard Italian and dialects, semiotics and cinema, and the role of intellectuals in contemporary Western culture. We shall also discuss the following films: ""Accattone,"" ""La ricotta,"" ""Edipo Re,"" ""Teorema,"" and ""Salo"".",Armando Maggi,None,None,Taught in English. Course not offered in 24-25.,"CMST 23500, GNSE 38600, GNSE 28600, CMST 33500, FNDL 28401, ITAL 38400"
194,ITAL 28424,"Displacing Caravaggio: Art, Media, and Contemporary Visual Culture","Caravaggio is a central figure in the history of Italian art and in the global image of Italy. Caravaggio is also and above all a master of Baroque painting with whom we feel a particular closeness in the name of the themes and modes of his painting. We feel him as our ""contemporary"" or, maybe, thanks to his works, we are the ones who move another time and another space. This course examines the peculiar relevance of Caravaggio in contemporary visual culture. On one side, we explores the ways in which Caravaggio's techniques, themes, and iconography have been appropriated and reinterpreted in modern and contemporary art and media. On the other hand, Caravaggio's painting is observed through an ""anachronistic"" perspective, bringing forth valuable insights for critically reflecting on contemporary media practice and visual culture.",None,Spring,Undergraduates must be in their third or fourth year.,Taught in English.,"ITAL 38424, ARTH 38424, ARTH 28424"
195,ITAL 28500,Petrarch and the Birth of Western Modernity,"This course offers a close reading of the theoretical works of Petrarch (known as the ""father of humanism"" or ""first modern man"") with the aim of pinpointing the literary and rhetorical skills, as well as the self-conscious agenda, that went into the proclamation of a new era in Western history: the ""Renaissance."" How do we at once pay homage to and overcome a time-honored past without severing our ties to history altogether? Is Petrarch's model still viable today in efforts to forge a new beginning? We will pay special attention to Petrarch's fraught relationship with religious and secular models such as Saint Augustine and Cicero, to Petrarch's legacy in notable Renaissance humanists (Pico, Poliziano, Erasmus, Montaigne, etc.), and to the correlation of Petrarchan inquiry with modern concerns and methodologies in textual and social analysis, including German hermeneutics (Gadamer) and critical theory (Gramsci).",Rocco Rubini,None,None,Taught in English. Course not offered in 24-25.,"ITAL 38500, FNDL 28500"
196,ITAL 28702,Italian Comic Theater,"A survey of the history of Italian theater from the Erudite Renaissance Comedy to Goldoni's reform. We will pay particular attention to the tradition of commedia dell'arte (scenarios, stock characters, and plot formation), ancient and medieval influences, evolution and emancipation of female characters, and the question of language. Readings include works by Plautus, Ariosto, Machiavelli, Angelo Beolco (Ruzante), Flaminio Scala, and Goldoni. Toward the end of the course we will consider the legacy of Italian Comedy in relation to the birth of grotesque and realist drama in Pirandello.",R. Rubini,None,None,Taught in English. Course not offered in 24-25.,"ITAL 38702, TAPS 38702, TAPS 28702"
197,ITAL 28705,Literature as Resistance: Reclaiming Italian Margins,"Resistance takes on many forms, some more explicit, some more elusive and covert; the act of writing is one of them. How has writing been used as an act of resistance in the Italian social landscape? How does literature present marginalized individuals with a way to resist cultural and physical oppression, and provide them with a means to promote social and cultural transformation? To answer these and other related questions, this course will explore the formation of counter-hegemonic discourse through the literary production of contemporary writers at the margins of Italian society.",Elizabeth Tavella,None,None,Taught in English. Course not offered in 24-25.,"GNSE 28705, CRES 28705"
198,ITAL 29600,The Worlds of Harlequin: Commedia Dell'arte,"This course is an introduction to the Italian art of theatrical improvisation or commedia dell'arte, a type of theater featuring masked characters and schematic plots. We will look at the influence of Boccaccio's Decameron on the formation of stock-characters, the introduction of women into the realm of theatrical professionalism, the art of costume and mask making, and the Italian knack for pantomime and gestural expression. Readings include such masterpieces in the tradition of comic theater as Machiavelli's The Mandrake and Goldoni's Harlequin Servant of Two Masters, as well as their renditions in film.",Rocco Rubini,None,None,Taught in English. Course not offered in 24-25.,"TAPS 38480, ITAL 39601, TAPS 28480"
199,ITAL 29700,Readings in Special Topics,This course provides directed readings in special topics not covered as part of the program in Italian. Subjects treated and work to be completed for the course must be chosen in consultation with the instructor no later than the end of the preceding quarter.,None,None,"ITAL 10300 or 20300, depending upon the requirements of the program for which credit is sought",None,Students are required to submit the College Reading and Research Course Form.
200,ITAL 29900,BA Paper Preparation: Italian,"In consultation with a faculty member, students must devote the equivalent of a one-quarter course to the preparation of a BA project.",None,None,Consent of undergraduate adviser,None,Students are required to submit the College Reading and Research Course Form. Students seeking honors may count this course towards their course requirements. Must be taken for a quality grade.
201,KREY 12201,Kreyòl for Speakers of Romance Languages I,"This course is intended for speakers of other Romance Languages to quickly develop competence in spoken and written Kreyol (Kreyòl Ayisyen). In this introductory course, students learn ways to apply their skills in another Romance language to master Kreyol by concentrating on the similarities and differences between the two languages. Although familiarity with a Romance language is strongly recommended, students with no prior knowledge of a Romance Languages, and heritage learners, are also welcome.",Gerdine Ulysse,Autumn,None,LACS 12201,None
202,KREY 12301,Kreyòl for Speakers of Romance Languages II,"This course is intended for speakers of other Romance Languages, to quickly develop competence in spoken and written Kreyol (Kreyòl Ayisyen). In this intermediate-level course, students learn ways to apply their skills in another Romance language to master Kreyol by concentrating on the similarities and differences between the two languages. This course offers a rapid review of the basic patterns of the language and expands on the material presented in KREY 12201. Although familiarity with a Romance language is strongly recommended, students with no prior knowledge of a Romance language, and heritage learners, are also welcome.",Gerdine Ulysse,Winter,KREY 12201 or consent of instructor.,LACS 12301,None
203,KREY 20400,Ekspresyon ekri: Kreyòl lakay soti Ayiti rive nan dyaspora a,"This course will provide opportunities to promote deeper knowledge of the Haitian culture while emphasizing the development of writing skills in the Kreyòl language through the use of a variety of authentic texts and cultural experiences. Topics covered in the course will include the Haitian revolution, cuisine, and audio-visual and performing arts. Moreover, students will participate in different cultural exploration outings in the city of Chicago, which will provide additional opportunities to interpret cultural artifacts and reflect on the Haitian culture and its influence on the representation and daily lives of Haitians in the diaspora, particularly in Chicago. In this course, we will: 1) analyze different cultural artifacts in the Haitian cultures through primary and secondary texts, 2) examine the influences of these cultural phenomena on the representation of Haitians and the creation of Haitian identity in the diaspora, and 3) and reflect on the importance of cultural identity in a migration context. Those who will take the course for Kreyòl credits will also develop additional syntactic knowledge in the language through creation of diverse essays. This course will be conducted in two weekly sessions: a common lecture session in English and an additional weekly discussion session in English or Kreyòl.",Gerdine Ulysse,None,"For those seeking credit in Kreyòl, this course is open to students who have taken KREY 12300 (Kreyòl for Speakers of French II), KREY 12301 (Kreyòl for Speakers of Romance Languages II), or instructor consent. Heritage learners are also welcome.",Course not offered in 24-25,"CHST 20400, LACS 20401, RDIN 20410"
204,KREY 21100,"Lang, Sosyete ak Kilti Ayisyèn I","This advanced-level course will focus on speaking and writing skills through the study of a wide variety of contemporary texts and audiovisual materials. It will provide students with a better understanding of contemporary Haitian society. Students will review problematic grammatical structures, write a number of essays, and participate in multiple class debates.",Gerdine Ulysse,Autumn,KREY 12300 or consent of instructor,Taught in Kreyòl.,LACS 21101
205,KREY 21200,"Lang, Sosyete ak Kilti Ayisyèn II","This advanced-level course will focus on speaking and writing skills through a wide variety of texts, audiovisual materials, and cultural experiences. We will study a wide range of Haitian cultural manifestations (e.g., visual arts, music, gastronomy). Students will also review advanced grammatical structures, write a number of essays, participate in multiple class debates, and take cultural trips to have a comprehensive learning experience with Haitian language and culture.",Gerdine Ulysse,Winter,KREY 21100 or consent of instructor.,Taught in Kreyòl.,LACS 21200
206,KREY 21600,"Francophone Caribbean Culture and Society: Art, Music, and Cinema","This course provides an interdisciplinary survey of the contemporary Francophone Caribbean. Students will study a wide range of its cultural manifestations (performing arts like music and dance, literature, cinema, architecture and other visual arts, gastronomy). Attention is also paid to such sociolinguistic issues as the coexistence of French and Kreyòl, and the standardization of Kreyòl.",Gerdine Ulysse,Autumn,None,Taught in English.,"LACS 21600, CRES 21600, FREN 21601, GLST 21600"
207,KREY 29300,Language Identity and Power in French-Creolophone Contexts,"This course examines the concept of language identity (i.e., the language[s] people employ to represent themselves) in multilingual Creolophone communities, particularly in Haiti. This course also examines the relationships between language identity, learning, language use, and literacy development in these societies. By the end of the course, students will be able to explain: 1) what language identity in multilingual Creolophone community reveal about speakers and their language attitudes; 2) how context and mode of communication can impact language identity and language use; 3) literacy acquisition and achievement in Creole communities; and 4) how Creolophones' learning and literacy development are affected by language policies and ideologies. A final project will require students to design and conduct a preliminary sociolinguistic study based on students' interests in the French-Creolophone world.",Gerdine Ulysse,Spring,"Knowledge of French and Kreyòl will be helpful, but not required.",Taught in English.,"FREN 29301, LACS 29299"
208,PORT 10100,Beginning Elementary Portuguese I,"This sequence is intended for beginning and beginning/intermediate students in Portuguese. It provides students with a solid foundation in the basic patterns of spoken and written Portuguese (e.g., grammar, vocabulary, phonetics, sociocultural norms) to develop their speaking, listening, writing, and reading skills. Although the three courses constitute a sequence, there is enough review and recycling at every level for students to enter the sequence whenever it is appropriate for them.
This course is intended for students who have no previous knowledge of Portuguese and for students who need an in-depth review of the basic patterns of the language.",Staff,Autumn,None,None,None
209,PORT 10200,Beginning Elementary Portuguese II,This course is a rapid review of the basic patterns of the language and expands on the material presented in PORT 10100.,Staff,Winter,PORT 10100 or placement,None,None
210,PORT 10300,Beginning Elementary Portuguese III,"This course expands on the material presented in PORT 10200, reviewing and elaborating the basic patterns of the language.",Staff,Spring,PORT 10200 or placement,None,Successful completion of PORT 10300 fulfills the competency requirement
211,PORT 12200,Portuguese For Spanish Speakers,"This course is intended for speakers of Spanish to develop competence quickly in spoken and written Portuguese. In this intermediate-level course, students learn ways to apply their Spanish language skills to mastering Portuguese by concentrating on the similarities and differences between the two languages. Students with a placement of 20100 or higher in any of the other Romance Languages are eligible to take PORT 12200 for completion of the College Language Competency Requirement",Staff,Autumn Spring,SPAN 10300 or consent of instructor.,LACS 12200,None
212,PORT 14100,Portuguese for Speakers of Romance Languages,"This course helps students quickly gain skills in spoken and written Portuguese by building on their prior working knowledge of another Romance language (Spanish, French, Catalan or Italian). By relying on the many similarities with other Romance languages, students can focus on mastering the different aspects of Portuguese, allowing them to develop their abilities for further study. This class covers content from PORT 10100 and 10200.",Staff,Winter,20100 in another Romance language or consent of instructor.,LACS 14100,None
213,PORT 14500,Portuguese for the Professions: Intensive Business Portuguese,"This is an accelerated language course that covers vocabulary and grammar for students interested in working in a business environment where Portuguese is spoken. The focus of this highly interactive class is to develop basic communication skills and cultural awareness through formal classes, readings, discussions, and writings. PORT 14500 satisfies the Language Competency Requirement.",Staff,Spring,"PORT 10200, SPAN 20100, or consent of instructor.",LACS 14500,None
214,PORT 20100,Intermediate Portuguese,This course is a general review and extension of all basic patterns of the language for intermediate students. Students explore selected aspects of Luso-Brazilian tradition through a variety of texts. This course is intented for intermediate students.,Staff,Autumn,"PORT 10300, 12200 or placement",None,None
215,PORT 20200,Advanced Portuguese,"This course helps students develop their descriptive and narrative skills through exposure to written and oral documents (e.g., literary texts, interviews). Students are taught the grammatical and lexical tools necessary to understand these documents, as well as to produce their own analysis and commentaries.",None,None,PORT 20100 or placement,None,Course not offered in 24-25
216,PORT 20500,Cultura do Mundo Lusófono,"In this course students will explore the culture of the Lusophone world through the study of a wide variety of contemporary literary and journalistic texts from Brazil, Portugal, Angola and Mozambique, and unscripted recordings. This advanced language course targets the development of writing skills and oral proficiency in Portuguese. Students will review problematic grammatical structures, write a number of essays, and participate in multiple class debates, using authentic readings and listening segments as linguistic models on which to base their own production.",Staff,Winter,PORT 20100 or consent of the instructor.,LACS 20500,None
217,PORT 20600,Composição e Conversação Avançada,"The objective of this course is to help students acquire advanced grammatical knowledge of the Portuguese language through exposure to cultural and literary content with a focus on Brazil. Students develop skills to continue perfecting their oral and written proficiency and comprehension of authentic literary texts and recordings, while also being exposed to relevant sociocultural and political contemporary topics. Students read, analyze, and discuss authentic texts by established writers from the lusophone world; they watch and discuss videos of interviews with writers and other prominent figures to help them acquire the linguistic skills required in academic discourse. Through exposure to written and spoken authentic materials, students learn the grammatical and lexical tools necessary to understand such materials as well as produce their own written analysis, response, and commentary. In addition, they acquire knowledge on major Brazilian authors and works.",Staff,Winter,PORT 20100 or consent of instructor.,LACS 20600,None
218,PORT 21500,Curso de Aperfeiçoamento,"This course helps students develop their skills in understanding, summarizing, and producing written and spoken arguments in Portuguese through readings and debates on various issues of relevance in contemporary Luso-Brazilian societies. Special consideration is given to the major differences between continental and Brazilian Portuguese. In addition to reading, analyzing, and commenting on advanced texts (both literary and nonliterary), students practice and extend their writing skills in a series of compositions.",Staff,Spring,"PORT 20200, PORT 20600 or consent of instructor",LACS 21500,None
219,PORT 21903,Brazilian Theater and Film,"This course offers an overview of theater and cinema in Brazil, from the late nineteenth century to the present. Through an array of films and plays, students will become familiar with cultural, aesthetic, political, social, and environmental aspects of Brazil. The course will also discuss performance, adaptation, and intersections between theater and film. Play writers and filmmakers may include Qorpo Santo, Oswald de Andrade, Nelson Rodrigues, Ariano Suassuna, Plínio Marcos, Denise Stoklos, Mário Peixoto, Glauber Rocha, Susana Amaral, Guel Arraes, Lucia Murat, Eduardo Coutinho, and Kleber Mendoça Filho, among others.",Victoria Saramago,None,None,"Taught in English, with readings available in Portuguese and English. Course not offered in 24-25.",LACS 21905
220,PORT 22350,Speaking Truth to Power in Medieval Iberia,"In the multilingual and multireligious environment of the Iberian middle ages, poetry can express many things. And while literary history has granted a prestigious space to some of these things, such as love or spirituality, it has consistently neglected others, such as socio-political satire or vulgarity. This class will be paying attention to that other less talked-about poetry that gets into the political struggles of the period, that talks in profanities about profane things. In other words, the poetry that does not speak to the eternity of existence, but that gets its hands dirty with earthly matters. The poetry that savagely mocks and cuts through social conventions in a way that makes seem contemporary Twitter trolls benevolent in comparison. For this class we will be reading authors who wrote in Galician-Portuguese such as Joao Soares de Paiva or King Alfonso X, authors who wrote in Catalan such as Guillem de Bergueda or Ramon Vidal de Besalu, and authors who wrote in Spanish such as Juan Ruiz or Juan de Mena. Translations to Spanish will be provided or worked though class discussion.",N. Blanco Mourelle,None,None,Course not offered in 24-25,"MDVL 22350, CATA 22350, SPAN 22350, CATA 32350, PORT 32350, SPAN 32350"
221,PORT 23424,Building a Nation: Brazilian Culture from Modernism to the Present,"In this course we will go over the last one hundred years in the cultural history of Brazil, a Latin American country which has dealt with multiple labels throughout the years, ranging from post-racial paradise to the country of the future. We will focus on Brazilian literature, from the 1920s to the present day, but we will also consider cinema and other types of art and how they have shaped artists' perception of their nation as a project. How have writers and filmmakers in the last century dealt with the legacy of colonialism and slavery? How have artists depicted and envisioned such a heterogenous continental country? What are the latest trends in Brazilian literature and arts and how do they engage with or depart from tradition? In this course, which will be taught in English, we will close read and discuss texts and films not only by canonical artists such as Clarice Lispector, Guimarães Rosa and Glauber Rocha but also by other artists who have been shaping the new directions of Brazilian art today.",Eduardo Leão,None,None,"While all required texts and classroom instruction will be in English, the primary texts will also be available in Portuguese and interested students will have opportunities to practice the language in the classroom. Course not offered in 24-25.",LACS 23424
222,PORT 24110,Ecocritical Perspectives in Latin American Literature and Film,"This course provides a survey of of ecocritical studies in Latin America. Through novels, poems, and films, we will examine a range of trends and problems posed by Latin American artists concerning environmental issues, from mid-nineteenth century to contemporary literature and film. Readings also include works of ecocritical criticism and theory that have been shaping the field in the past decades.",V. Saramago,Course not offered in 24-25.,None,"SPAN 24110, PORT 34110, SPAN 34110, LACS 24110, LACS 34110",None
223,PORT 25000,"The Amazon: Literature, Culture, Environment","From colonial travelers to contemporary popular culture, the Amazonian forest has been a source of endless fascination, greed and, more recently, ecological concern. The numerous actors that have been shaping the region, including artists, writers, scientists, anthropologists, indigenous peoples, and the extractive industry, among others, bring a multifaceted view of this region that has been described as the paradise on earth as much as a green hell. This course offers an overview of Amazonian history, cultures, and environmental issues that spans from the sixteenth to the twenty-first century. What are the major topics, works, and polemics surrounding the ways the Amazon has been depicted and imagined? How can the region's history help us understand the state of environmental policies and indigenous rights today? What can we learn about the Amazon from literature and film? What is the future of the Amazon in the context of Brazil's current political climate? From an interdisciplinary perspective, we will cover topics such as indigenous cultures and epistemologies, deforestation, travel writing, modern and contemporary literature, music, photography, and film, among others. Authors may include Claudia Andujar, Eduardo Viveiros de Castro, Euclides da Cunha, Susanna Hecht, Davi Kopenawa, the project Video in the Villages, among others.",Victoria Saramago,Autumn,None,"Taught in English. Materials available in English, Portuguese and Spanish.","SPAN 35555, ENST 25000, CEGU 25000, LACS 25005, SIGN 26059, PORT 35000, SPAN 25555, LACS 35005"
224,PORT 26000,Afro-Brazilian Literature,"During most of Brazil's colonial period and decades after its independence from Portugal, the country's labor force was primarily composed of enslaved people from Africa and of African descent. The African diaspora is a crucial component to understand Brazil's history, society, economy and culture. From the abolitionist prose of Maria Firmina dos Reis and Machado de Assis's subtle reflections on race to the exponential growth of Afro-Brazilian authors in the mainstream of contemporary literature, such as Conceição Evaristo and Itamar Vieira Jr., Brazilian literature has been shaped by the rich diversity of African diasporic cultures as well as by the numerous challenges faced by Afro-Brazilians in a society that is still today deeply unequal. In this course, we will delve into Afro-Brazilian history and culture through literature. We will cover a century and a half of Afro-Brazilian literary production and understand how its main themes, potentialities and challenges have evolved over the course of the decades. Besides the authors mentioned above, we will read works by Abdias do Nascimento, Carolina Maria de Jesus, Djamila Ribeiro and Ricardo Aleixo, among others. Taught in Portuguese. Accommodations for students who do not speak Portuguese but speak another Romance language may be made depending on student demand.",Victoria Saramago,Winter,None,None,None
225,PORT 26810,From Cannibalism to Tropicalism: Brazilian Avant-Gardes,"Avant-garde movements, tendencies, and artists have been present in Brazil throughout the twentieth century. From the paradigmatic Week of Modern Art in 1922 to the Tropicalism of the 1960s and 1970s, this course revisits works of fiction, poetry, essay, visual arts, film, and music that have shaped the Brazilian avant-gardes. We will focus on the Modernist Movement, Concretism, Neoconcretism, New Cinema, Tropicalism, and regional avant-garde movements produced across the country.",V. Saramago,None,None,Course not offered in 24-25.,"PORT 36810, LACS 26810, LACS 36810"
226,PORT 26900,Travels to Backlands of Brazil and Portuguese-speaking Africa,"The ""sertões"" or backlands of Brazil are composed of a broad and varied number of areas. Since its early usage as all the space beyond the Portuguese gaze during colonial times to its more common identification with the Northeast of Brazil in the twentieth century, it has played an unstable and versatile role in Brazilian history, from rural banditry to the building of the country's capital. This course will study the variety of sociocultural facets with which the term ""sertão"" has been identified in Brazil, with a focus on the twentieth century. We will also examine how this trope of colonial discourse would take on a different connotation in Angola and Mozambique due to the attentive reading of Brazilian literature by Angolan and Mozambican writers. Authors may include Mia Couto, Ruy Duarte de Carvalho, Euclides da Cunha, Graciliano Ramos, Guimarães Rosa, João Cabral de Melo Neto, Nísia Trindade Lima, Janaína Amado, Alfredo de Taunay, José Luiz Passos, Glauber Rocha, Karim Aïnouz, Marcelo Gomes, Ana Rieper, and Sandra Kogut.",None,None,None,Course not offered in 24-25.,"LACS 26900, PORT 36900, LACS 36900"
227,PORT 27200,Introduction to Brazilian Culture,"This course provides a survey of Brazilian culture through its literature, music, cinema, visual arts, and digital culture. Through these different media, we will discuss topics such as urban development, racial issues, gender issues, modernity, deforestation, and internal migrations, besides samba, bossa nova, Tropicália, funk, and visual arts movements, among others. Authors may include Machado de Assis, Oswald de Andrade, Clarice Lispector, Caetano Veloso, Angélica Freitas, Glauber Rocha, Conceição Evaristo, and Karim Aïnouz. Taught in English. Students may do the assignments and readings in Portuguese.",Thomaz Amâncio,Spring,None,Taught in English. Course not offered in 24-25.,LACS 27200
228,PORT 29700,Readings in Special Topics,This course is directed readings in special topics not covered as part of the program in Portuguese. Subjects treated and work to be completed for the course must be chosen in consultation with the instructor no later than the end of the preceding quarter.,None,None,"PORT 10300 or 20200, depending upon the requirements of the program for which credit is sought",None,Students are required to submit the College Reading and Research Course Form.
229,PORT 29900,BA Paper Preparation: Portuguese,"In consultation with a faculty member, students must devote the equivalent of a one-quarter course to the preparation of a BA project.",None,None,Consent of undergraduate adviser,None,Students are required to submit the College Reading and Research Course Form. Students seeking honors may count this course towards their course requirements. Must be taken for a quality grade.
230,SPAN 10100,Beginning Elementary Spanish I,"SPAN 10100 is the initial segment of the introductory-level course sequence in Spanish language and Hispanic culture, and presupposes no previous exposure to Spanish. The introductory course sequence in Spanish has two main objectives: 1) to enable students to understand simple texts and dialogues and communicate successfully with highly proficient speakers about everyday, concrete topics; and 2) to build students' transcultural competence via exposure to different aspects of Spanish-speaking cultures. Using a task-based approach, the course will provide students with a solid foundation in the basic patterns of spoken and written communication in Spanish (grammar, syntax, vocabulary, sociolinguistic norms), with emphasis on all four linguistic skills (speaking, listening, reading and writing).",Staff,Autumn Spring Winter,None,None,None
231,SPAN 10200,Beginning Elementary Spanish II,"SPAN 10200 is the second segment of the introductory-level course sequence in Spanish language and Hispanic culture. The introductory course sequence in Spanish has two main objectives: 1) to enable students to understand simple texts and dialogues and communicate successfully with highly proficient speakers about everyday, concrete topics; and 2) to build students' transcultural competence via exposure to different aspects of Spanish-speaking cultures. Using a task-based approach, the course will provide students with a solid foundation in the basic patterns of spoken and written communication in Spanish (grammar, syntax, vocabulary, sociolinguistic norms), with emphasis on all four linguistic skills (speaking, listening, reading and writing).",Staff,Autumn Spring Winter,SPAN 10100 or placement,None,None
232,SPAN 10300,Beginning Elementary Spanish III,"SPAN 10300 is the third and final segment of the introductory-level course sequence in Spanish language and Hispanic culture. The introductory course sequence in Spanish has two main objectives: 1) to enable students to understand simple texts and dialogues and communicate successfully with highly proficient speakers about everyday, concrete topics; and 2) to build students' transcultural competence via exposure to different aspects of Spanish-speaking cultures. Using a task-based approach, the course will provide students with a solid foundation in the basic patterns of spoken and written communication in Spanish (grammar, syntax, vocabulary, sociolinguistic norms), with emphasis on all four linguistic skills (speaking, listening, reading and writing).",Staff,Autumn Spring Winter,"SPAN 10200, SPAN 14100, or placement.",None,None
233,SPAN 12001,Intensive Spanish I,"This intensive, three-quarter sequence brings students with no prior background in Spanish to Advanced-Low levels in all four skills (reading, writing, speaking, and listening), thus preparing students to take third-year level courses in the language. Learners who are starting Spanish late in their college careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate Spanish track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. SPAN 12001 is the equivalent of SPAN 10100 and SPAN 10200.",Staff,Autumn,None,None,None
234,SPAN 12002,Intensive Spanish II,"This intensive, three-quarter sequence brings students with no prior background in Spanish to advanced-low levels in all four skills (reading, writing, speaking, and listening), thus preparing students to take third-year level courses in the language. Learners who are starting Spanish late in their college careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate Spanish track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. SPAN 12002 is the equivalent of SPAN 10300 and SPAN 20100.",Staff,Winter,"SPAN 10200, SPAN 12001, SPAN 14100, or placement into SPAN 10300.",None,None
235,SPAN 12003,Intensive Spanish III,"This intensive, three-quarter sequence brings students with no prior background in Spanish to advanced-low levels in all four skills (reading, writing, speaking, and listening), thus preparing students to take third-year level courses in the language. Learners who are starting Spanish late in their college careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate Spanish track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. SPAN 12003 is the equivalent of SPAN 20200 and SPAN 20300.",Staff,Spring,"SPAN 20100, SPAN 12002, or placement into SPAN 20200",None,None
236,SPAN 20100,"Language, History, and Culture I","This course is the first segment of the intermediate-level course sequence in Spanish language and Hispanic cultures. In this course, students build on the speaking, listening, reading, and writing skills that were acquired previously to communicate and discuss topics of local, national, and international interest. These topics include cultural identities, representation in media industry, human rights and current issues pertaining to education and the job market, with a special emphasis on how they operate in the Spanish-speaking world. SPAN 201 has three main objectives: 1) to express more nuanced ideas orally and in writing in grammatically accurate, lexically rich, and sociolinguistically appropriate Spanish; 2) to demonstrate listening and reading comprehension of authentic texts in a variety of social and academic contexts; and 3) to help students build on their intercultural competence by identifying the beliefs and practices of Spanish-speaking individuals and cultures and comparing them with their own worldview.",Staff,Autumn Spring Winter,SPAN 10300 or placement,None,None
237,SPAN 20200,"Language, History, and Culture II","This course is the second segment of the intermediate-level course sequence in Spanish language and Hispanic cultures. In this course, students build on the speaking, listening, reading, and writing skills that were acquired previously to communicate and discuss topics of local, national, and international interest. These topics include society and technology, creativity and leisure in the post-pandemic era, bilingualism and multicultural communities and environmental ethics, with a special emphasis on how they operate in the Spanish-speaking world. SPAN 202 has three main objectives: 1) to express more nuanced ideas orally and in writing in grammatically accurate, lexically rich, and sociolinguistically appropriate Spanish; 2) to demonstrate listening and reading comprehension of authentic texts in a variety of social and academic contexts; and 3) to help students build on their intercultural competence by identifying the beliefs and practices of Spanish-speaking individuals and cultures and comparing them with their own worldview.",Staff,Autumn Spring Winter,SPAN 20100 or placement,None,None
